objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,tuckedin.jpg,,,Tucked In,"Kearns, Beatrice",,Finny snuggled under the blankets,"cat, domestic",,,,,,Graphic Material,image/jpeg,,Beatrice Kearns,
coll002,studying.jpg,,,Studying ,"Kearns, Beatrice",,Assisting with homework,"cat, domestic",,,,,,Graphic Material,image/jpeg,,Beatrice Kearns,
coll003,baby.jpg,,,Baby,"Kearns, Beatrice",,Playing with his new friend,"cat, domestic",,,,,,Graphic Material,image/jpeg,,Beatrice Kearns,
coll004,mouse.jpg,,,Mouse,"Kearns, Beatrice",,Emotional support animal's emotional support toy ,"cat, domestic",,,,,,Graphic Material,image/jpeg,,Beatrice Kearns,
coll005,box.jpg,,,Box,"Kearns, Beatrice",,Enjoying packaging,"cat, domestic",,,,,,Graphic Material,image/jpeg,,Beatrice Kearns,
coll006,paws.jpg,,,Paws,"Kearns, Beatrice",,Finny's little paws,"cat, domestic",,,,,,Graphic Material,image/jpeg,,Beatrice Kearns,
coll007,cabinet.jpg,,,Cabinet,"Kearns, Beatrice",,Where he shouldn't be..,"cat, domestic",,,,,,Graphic Material,image/jpeg,,Beatrice Kearns,
coll008,vampire.jpg,,,Vampire,"Kearns, Beatrice",,A predator ,"cat, domestic",,,,,,Graphic Material,image/jpeg,,Beatrice Kearns,
coll009,fulltuck.jpg,,,Full Tuck,"Kearns, Beatrice",,Little Finny Ball,"cat, domestic",,,,,,Graphic Material,image/jpeg,,Beatrice Kearns,
coll010,hangingout.jpg,,,Hanging Out,"Kearns, Beatrice",,He does not fit ,"cat, domestic",,,,,,Graphic Material,image/jpeg,,Beatrice Kearns,
coll011,sassy.jpg,,,Sassy,"Kearns, Beatrice",,Attitude!,"cat, domestic",,,,,,Graphic Material,image/jpeg,,Beatrice Kearns,
coll012,regal.jpg,,,Regal,"Kearns, Beatrice",,Prince ,"cat, domestic",,,,,,Graphic Material,image/jpeg,,Beatrice Kearns,
coll013,librarian.jpg,,,Librarian,"Kearns, Beatrice",,His mothers son,"cat, domestic; library cats",,,,,,Graphic Material,image/jpeg,,Beatrice Kearns,
coll014,washer.jpg,,,Washer,"Kearns, Beatrice",,Loves laundry,"cat, domestic",,,,,,Graphic Material,image/jpeg,,Beatrice Kearns,
coll015,sleepy.jpg,,,Sleepy,"Kearns, Beatrice",,Worn out!,"cat, domestic",,,,,,Graphic Material,image/jpeg,,Beatrice Kearns,
